ACCOUNTABILITY_ACHIEVEMENT_GRADE,tested,novice,apprentice,proficient,distinguished,PCT_BONUS,NAPD_CALCULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_ACHIEVEMENT_LEVEL,tested,novice,apprentice,proficient,distinguished,PCT_BONUS,NAPD_CALCULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_ACHIEVEMENT_SUMMARY,READING,MATH,SCIENCE,SOCIAL_STUDIES,WRITING,LANGUAGE_MECHANICS,TOTAL_POINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_CCR_HIGHSCHOOL,NBR_GRADUATES_WITH_DIPLOMA,COLLEGE_READY,CAREER_READY_ACADEMIC,CAREER_READY_TECHNICAL,CAREER_READY_TOTAL,NBR_CCR_REGULAR,PCT_CCR_NO_BONUS,PCT_CCR_WITH_BONUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_CCR_MIDDLESCHOOL,tested,ENGLISH_BNCHMRK_PCT,READING_BNCHMRK_PCT,MATH_BNCHMRK_PCT,SCIENCE_BNCHMRK_PCT,TOTAL_POINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_FEDERAL_DATA_ATTENDANCE,ATTENDANCE_RATE,ATTENDANCE_TARGET,MET_ACADEMIC_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_FEDERAL_DATA_PARTICIPATION_RATE,membership,tested,partic,MET_PARTICIPATION_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_GAP_LEVEL,tested,novice,apprentice,proficient,distinguished,NAPD_CALCULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_GAP_SUMMARY,READING,MATH,SCIENCE,SOCIAL_STUDIES,WRITING,LANGUAGE_MECHANICS,TOTAL_POINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_GROWTH,tested,READING_PCT,MATH_PCT,READING_MATH_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_PROFILE,overall,rank,classification,REWARD_RECOGNITION,BASE_YR_SCORE,amogoal,amomet,TREND_DISPLAY,PARTICIPATION_NEXT_YR,GRADUATION_RATE_GOAL,KY_RANK_PY,CLASSIFICATION_PY,REWARD_RECOGNITION_PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOUNTABILITY_SUMMARY,ACHIEVEMENT_POINTS,ACHIEVEMENT_SCORE,GAP_POINTS,GAP_SCORE,GROWTH_POINTS,GROWTH_SCORE,CCR_POINTS,CCR_SCORE,GRADUATION_POINTS,GRADUATION_SCORE,WEIGHTED_SUMMARY,NGL_WEIGHTED,PR_TOTAL,PR_WEIGHTED,OVERALL,PY_YR_NGL_TOTAL,PY_YR_NGL_WEIGHTED,PY_YR_PR_TOTAL,PY_YR_PR_WEIGHTED,PY_YR_OVERALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_ACT,STDNT_TESTED_CNT,STDNT_TESTED_BNCHMRK_CNT,ENGLISH_MEAN_SCORE,ENGLISH_BNCHMRK_PCT,MATHEMATICS_MEAN_SCORE,MATHEMATICS_BNCHMRK_PCT,READING_MEAN_SCORE,READING_BNCHMRK_PCT,SCIENCE_MEAN_SCORE,COMPOSITE_MEAN_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_ADVANCE_PLACEMENT,TEST_TAKERS_CNT,TEST_TAKERS_PCT,EXAM_TAKEN_CNT,EXAM_TAKEN_GRADE3TO5_CNT,EXAM_TAKEN_GRADE3TO5_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_EXPLORE,STDNT_TESTED_CNT,STDNT_TESTED_BNCHMRK_CNT,ENGLISH_MEAN_SCORE,ENGLISH_BNCHMRK_PCT,MATHEMATICS_MEAN_SCORE,MATHEMATICS_BNCHMRK_PCT,READING_MEAN_SCORE,READING_BNCHMRK_PCT,SCIENCE_MEAN_SCORE,SCIENCE_BNCHMRK_PCT,COMPOSITE_MEAN_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_KPREP_EOC,tested,ENROLLMENT,PARTICIP_RATE,novice,apprentice,proficient,distinguished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_KPREP_GRADE,tested,ENROLLMENT,PARTICIP_RATE,novice,apprentice,proficient,distinguished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSEMENT_KPREP_LEVEL,tested,ENROLLMENT,PARTICIP_RATE,novice,apprentice,proficient,distinguished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_KSCREEN,COMP_AND_DOMAIN_ENROLLMENT,COMP_AND_DOMAIN_NUMTESTED,COMP_AND_DOMAIN_PARTCIPRATE,SHSE_ENROLLMENT,SHSE_NUMTESTED,SHSE_PARTICIPRATE,KR_NOT_READY,KR_KINDERGARTENREADY,COG_BELOW_AVG,COG_AVG,COG_ABOVE_AVG,LANG_BELOW_AVG,LANG_AVG,LANG_ABOVE_AVG,PHYDEV_BELOW_AVG,PHYDEV_AVG,PHYDEV_ABOVE_AVG,SELFHELP_BELOW_AVG,SELFHELP_AVG,SELFHELP_ABOVE_AVG,SOCIAL_EMO_BELOW_AVG,SOCIAL_EMO_AVG,SOCIAL_EMO_ABOVE_AVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_NAEP,BELOW_BASIC,AT_BASIC,AT_PROFICIENT,AT_ADVANCED,partic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_NRT,READING_PERCENTILE,MATHEMATICS_PERCENTILE,SCIENCE_PERCENTILE,SOCIAL_PERCENTILE,LANGUAGE_MECHANICS_PERCENTILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
