"category","file","varnm","label"
"Accountability","Accountability Profile","amo_goal","Annual Measurable Objective (AMO) Goal. AMO goals are set to measure whether a school/district has made adequate progress for accountability determinations."
"Accountability","Accountability Profile","baseline","Prior year learners total score"
"Accountability","Accountability Profile","classification","Classification of a school or district: Distinguished cut scores are 72.8 for Elementary, 70.2 for Middle, 75.4 for High and 70.5 for Districts. Proficient cut scores are 67.2 for Elementary, 65.8 for Middle, 70.2 for High and 66.2 for Districts.           
Needs Improvement schools/districts are those scoring below the Proficient cut scores. Progressing school/district has met its AMO, student participation rate for the all students group and each subgroup, and has met its graduation rate goal."
"Accountability","Accountability Profile","level","School level reported: elementary, middle or high school"
"Accountability","Accountability Profile","met_amo_goal","Annual Measurable Objective (AMO) met."
"Accountability","Accountability Profile","met_graduation_rate_goal","Current year graduation rate met/not met."
"Accountability","Accountability Profile","met_participation_rate_goal","Current year participation rate met/not met."
"Accountability","Accountability Profile","next-generation_learners_total_score","Created by equally weighting the scores for achievement, gap, growth, CCR (HS only) and Grad Rate (HS Only)."
"Accountability","Accountability Profile","overall_score","Overall performance score of a school or district within the state accountability system. Overall score is used to compare a school's or district's performance and calculate an AMO improvement goal."
"Accountability","Accountability Profile","rewards_and_assistance_category","School/District of Distinction cut scores are 76.0 for Elementary, 72.5 for Middle, 77.7 for High and 71.9 for Districts. The school/district must also meet its current year AMO, student participation rate, graduation rate goal and the graduation rate must be above 80 for the prior two years. In addition, districts cannot have a school labeled as Priority or Focus.       
High Performing School/Districts are those meeting the Distinguished cut score, but are scoring below the School/District of Distinction cut score. The school/district must also meet its current year AMO, student participation rate, graduation rate goal and the graduation rate must be above 80 for the prior two years. In addition, districts cannot have a school labeled as Priority or Focus.       
High Progress School/District has met its current year AMO, student participation rate and graduation rate goal and has a graduation rate above 80 for the prior two years and has an improvement score indicating the school/district is in the top 10 percent of improvement."
"Accountability","Accountability Profile","year","Academic year, i.e. 2015-2016"
"Accountability","Achievement","achievement_total_points","Total points come from the NAPD Calculation multiplied by the equal weight of content areas: reading, mathematics, science, social studies are 20% and writing/language mechanics is 20% (writing 16% and language mechanics 4%). If content area data are not available, weights are redistributed proportionally."
"Accountability","Achievement","achievement_weighted_score","Achievement points times the relative weight of 20%."
"Accountability","Achievement","category","Label within the School Report Card, Accountability."
"Accountability","Achievement","categorical_growth","Categorical growth model in reading and mathematics sums the number of students moving from a student performance level (NAPD) to a higher level and the number remaining at proficient and distinguished, divided by total number of students."
"Accountability","Achievement","college_and_career_readiness_points","Reflects students' college and/or career preparedness based on test scores and certifications earned. Measured by EXPLORE scores for middle school and ACT benchmarks, college placement tests, and career measures for high school. Students must be enrolled a full academic year (100 days or more) in order to be considered."
"Accountability","Achievement","college_and_career_readiness_weighted_score","College and career preparedness points times the relative weight of 20%."
"Accountability","Achievement","combined_results_overall_score","Learners weighted score + Program Review weighted score"
"Accountability","Achievement","gap_non-duplicated_gap_group","Non-duplicated gap creates a single student gap group that includes students with membership in the following groups as required by federal guidelines: African-American, Hispanic, Native American, students with disabilities, poverty (qualified for free/reduced-price lunch) and limited English proficient (English Learners). The student performance levels of novice, apprentice, proficient and distinguished are reported for this non-duplicated group. Accountability is based on students enrolled a full academic year (100 days).."
"Accountability","Achievement","gap_novice_reduction","Annual novice reduction targets in reading and mathematics are created for individual student groups including: ethnicity/race (African American, Hispanic, Native American), Special Education, Poverty (free/reduced-price meals) and Limited English Proficiency (English Learners) and non-duplicated gap group. Points are awarded based on percent of target met. Accountability is based on students enrolled a full academic year (100 days)."
"Accountability","Achievement","gap_weighted_score","GAP points times the relative weight of 20%."
"Accountability","Achievement","grade","Grade level (i.e. 03- 3rd grade)"
"Accountability","Achievement","graduation_rate_points","Five year adjusted cohort graduation rate as points."
"Accountability","Achievement","graduation_rate_weighed_score","Five year adjusted cohort graduation rate points times the relative weight of 20%."
"Accountability","Achievement","growth_points","Student Growth Percentile when compared to an individual student's score to the student's academic peers utilizing two years of test scores. Reported solely from the grade levels 4-8 and 11 on the subjects of reading and mathematics. Students must be enrolled a full academic year (100 days or more) in order to be considered."
"Accountability","Achievement","growth_weighted_score","Growth points times the relative weight of 20%."
"Accountability","Achievement","language_mechanics","Average student performance (Proficient/Distinguished percentage or points) in language mechanics."
"Accountability","Achievement","level","School level reported: elementary, middle or high school"
"Accountability","Achievement","level-_performance_type","Mathematics, reading, science, social studies, language mechanics, writing on demand"
"Accountability","Achievement","mathematics","Average Student Performance (proficient/distinguished percentage or points) in mathematics"
"Accountability","Achievement","napd_calculation","Derived from the formula: Novice = 0; Apprentice = .5; Proficient/Distinguished = 1 (Bonus of .5 is added if there are more distinguished than novice)."
"Accountability","Achievement","next-generation_learners_weighted_score","Accountability Next Generation Learners Total Score times the relative weight of 77%."
"Accountability","Achievement","novice_reduction","Annual novice reduction targets in reading and mathematics are created for individual student groups including: ethnicity/race (African American, Hispanic, Native American), Special Education, Poverty (free/reduced-price meals) and Limited English Proficiency (English Learners) and non-duplicated gap group. Points are awarded based on percent of target met."
"Accountability","Achievement","percent__bonus","Percentage points added (.5) to the NAPD calculation if there are more students which test at the distinguished performance level versus the novice performance level."
"Accountability","Achievement","percent__distinguished","Percent of the number of students accountable 100 days enrolled who can be categorized as Distinguished. Distinguished classification is determined by the NAPD calculation."
"Accountability","Achievement","percent_apprentice","Percent of the number of students accountable 100 days enrolled which can be categorized as Apprentice. Apprentice classification is determined by the NAPD calculation."
"Accountability","Achievement","percent_novice","Percent of the number of students accountable 100 days enrolled who can be categorized as Novice. Novice classification is determined by the NAPD calculation."
"Accountability","Achievement","percent_proficient","Percent of the Number of Students Accountable 100 days enrolled which can be categorized as Proficient. Proficient classification is determined by the NAPD calculation."
"Accountability","Achievement","percent_proficient/distinguished","Combined percentages of students classified as Proficient and Distinguished."
"Accountability","Achievement","performance_type","NAPD Calculation equals the Proficient/Distinguished percentages for the gap group. Points are the weighted points used for accountability calculations."
"Accountability","Achievement","performance_type","NAPD calculation equals the Proficient/Distinguished percentages for the gap group. Points are the weighted points used for accountability calculations."
"Accountability","Achievement","program_reviews_total_points","The Program Review Total Score is calculated using Total Points divided by 24 with a maximum score of 100."
"Accountability","Achievement","program_reviews_total_score","The Program Review Total Score times the relative weight of 23%."
"Accountability","Achievement","reading","Average student performance (Proficient/Distinguished percentage or points) in reading."
"Accountability","Achievement","science","Average student performance (Proficient/Distinguished percentage or points) in science."
"Accountability","Achievement","social_studies","Average student performance (Proficient/Distinguished percentage or points) in social studies."
"Accountability","Achievement","student_growth_percentile","A statistical program generates a Student Growth Percentile by comparing an individual student’s score to the student’s academic peers using two years of test scores. Growth is reported for reading and mathematics in grades 4 through 8 and grade 11."
"Accountability","Achievement","total_points","Points come from the NAPD calculation multiplied by the equal weight of content areas: reading, mathematics, science, social studies are 20% and writing/language mechanics is 20% (writing 16% and language mechanics 4%). If content area data are not available weights are redistributed proportionally."
"Accountability","Achievement","writing","Average student performance (Proficient/Distinguished percentage or points) in writing on demand."
"Accountability","Achievement","year","School Year Constant – “20152016” for school year 2015 – 2016."
"Accountability","CCR","accountability_points_with_bonus","The Accountability Points with Bonus is calculated using the Percentage of Graduates (high school diploma or alternative HS diploma) College and/or Career Ready AND a half point bonus for graduates meeting College Ready (ACT or COMPASS or KYOTE) AND Career Ready Technical (KOSSA or Industry Certificates)."
"Accountability","CCR","level","All graduates. Can be drilled down to disaggregated groups: gender, race, migrant, English Learners, free/reduced-price meals, disability and Non Duplicated Gap Group."
"Accountability","CCR","non-duplicated_total","This total includes only individual graduates (non-duplicated) who received a high school diploma or alternative high school diploma. Graduates with an alternative high school diploma could have met both college ready and career ready benchmarks. Graduates with a alternative HS diploma must have met the readiness standards on the Transition Attainment Record (TAR). This is not a total of the college ready and career ready columns."
"Accountability","CCR","number_career_ready_academic","The Career Ready indicator includes graduates who met benchmarks for Career Ready Academic on ASVAB or ACT WorkKeys and for Career Ready Technical on KOSSA or received an Industry Recognized Career Certificate as approved by the Kentucky Department of Education."
"Accountability","CCR","number_career_ready_technical","The Career Ready indicator includes graduates who met benchmarks for Career Ready Academic on ASVAB or ACT WorkKeys and for Career Ready Technical on KOSSA or received an Industry Recognized Career Certificate as approved by the Kentucky Department of Education."
"Accountability","CCR","number_career_ready_total","The Career Ready indicator includes graduates who met benchmarks for Career Ready Academic on ASVAB or ACT WorkKeys and for Career Ready Technical on KOSSA or received an Industry Recognized Career Certificate as approved by the Kentucky Department of Education."
"Accountability","CCR","number_college_ready","The College Ready indicator includes graduates who met the Kentucky Council on Postsecondary Education (CPE)  Benchmarks for reading (20), English (18), and mathematics (19) on any administration of the ACT. The College Placement Tests indicator includes students who passed a college placement test (Compass or KYOTE)"
"Accountability","CCR","percentage_of_graduates_(high_school_diploma_or_alternative_hs_diploma)
college_and/or_career_ready","The percentage of graduates that are college and/or college ready."
"Accountability","Gap","gap_points","Points come from the NAPD Calculation multiplied by the equal weight of content areas: reading, mathematics, science, social studies are 20% and writing/language mechanics is 20% (writing 16% and language mechanics 4%). If content area data is not available weights are redistributed proportionally."
"Accountability","Gap","language_mechanics","Average Student Performance (proficient/distinguished percentage or points) in language mechanics"
"Accountability","Gap","level","School level reported: elementary, middle or high school"
"Accountability","Gap","mathematics","Average Student Performance (proficient/distinguished percentage or points) in Mathematics"
"Accountability","Gap","non-duplicated_gap_group","African American, Hispanic,American Indian/Alaska Native, Limited English Proficiency , Free/Reduced-Price Lunch,
Disability – with IEP"
